full_name,url,stars,forks,language,domain,what_it_extracts,created,last_activity,current_mechanism,hand_rolled,volume_signals
thelakshyadubey/Invoice_Extraction_Bot,https://github.com/thelakshyadubey/Invoice_Extraction_Bot,1,0,Python,invoices/finance,An AI-powered Streamlit application that extracts structured invoice data from uploaded PDF files using LLaMA-3 via Groq API. Automates manual data entry and enables CSV export in one click.,2025-06-09,2026-08-04,none shown,yes,pdf
ZhangHan200005/EcoData_Extraction,https://github.com/ZhangHan200005/EcoData_Extraction,1,0,Python,research papers,"A human-in-the-loop AI system for extracting and evaluating structured data from scientific literature. Integrated literature search, LLM semantic filtering, PDF structure parsing, OCR/table extractio",2026-06-25,2026-08-10,none shown,yes,pdf;ocr_vision;eval
reichaves/langextract-fundos,https://github.com/reichaves/langextract-fundos,1,0,Python,news/media," Structured entity extraction from Brazilian investment fund regulatory PDFs (CVM/B3) using LangExtract + Gemini, for investigative journalism",2026-02-11,2026-08-12,none shown,yes,batch;pdf;web_scrape;eval
dakshjain-1616/Multi-Model-Invoice-OCR-Pipeline,https://github.com/dakshjain-1616/Multi-Model-Invoice-OCR-Pipeline,1,0,Python,invoices/finance,"Invoice OCR pipeline combining GLM-4.5V via OpenRouter with a fine-tuned BERT NER model to extract vendors, dates, totals, and line items. Layout agnostic, with per-entity confidence scoring and struc",2026-01-29,2026-05-02,none shown,yes,batch;ocr_vision;eval
imdat1/Data-Science-Feature-Extraction-Product-Communicator,https://github.com/imdat1/Data-Science-Feature-Extraction-Product-Communicator,1,0,Jupyter Notebook,e-commerce,"My project at uni for Data Science. It's all about extracting features from unstructured product data, passing them in a database, and asking an LLM to generate a query for a question about those feat",2024-05-30,2024-06-02,none shown,yes,
koldo66crack/LLM-Web-Scraping,https://github.com/koldo66crack/LLM-Web-Scraping,1,0,HTML,real estate,LLM-based RentHop scraper for VeloCity (Columbia startup). Phase 1: hardcoded pagination collects listing URLs. Phase 2: Gemini LLM extracts structured rental data from HTML. Helps students find affor,2025-11-10,2025-11-10,none shown,yes,batch;web_scrape
chigwell/llm-event-digest,https://github.com/chigwell/llm-event-digest,1,0,Python,news/media,"A new package that processes news headlines or short text inputs to generate structured summaries of events, such as service disruptions or incidents. It uses an LLM to extract key details like the co",2025-12-21,2025-12-21,none shown,yes,batch
Mervecaliskann/document-intelligence-extractor,https://github.com/Mervecaliskann/document-intelligence-extractor,0,0,Python,invoices/finance,LLM-based document intelligence: extract structured fields from invoices with validation and evaluation,2026-08-07,2026-08-07,json_mode;openai_structured_outputs,yes,pdf;eval
cld2labs/MediScriptAI,https://github.com/cld2labs/MediScriptAI,0,1,TypeScript,medical,"AI-powered clinical documentation tool that converts patient–doctor conversations into structured SOAP notes using LLMs. Built with a FastAPI backend and Next.js frontend, supports speaker diarization",2026-03-18,2026-04-16,json_mode;openai_structured_outputs,yes,batch;ocr_vision;eval
neeraliacharya/resume-parser,https://github.com/neeraliacharya/resume-parser,0,0,Python,jobs/recruiting,"A resume parsing system that uses an LLM to extract contact info, experience, education, skills, and certifications from PDF/DOCX files — exposed through a FastAPI REST API with structured logging and",2026-06-10,2026-06-11,json_mode;openai_structured_outputs,yes,batch;pdf;eval
9anshumanp/llm-document-intelligence,https://github.com/9anshumanp/llm-document-intelligence,0,0,Python,invoices/finance,A practical pipeline for extracting structured insights from unstructured documents using LLMs.,2025-12-24,2025-12-25,grammar_constrained,yes,batch;pdf;eval
Jamedw/clinical-etl-pipeline,https://github.com/Jamedw/clinical-etl-pipeline,0,0,Python,medical,"Hybrid NLP/LLM ETL pipeline for extracting structured data from unstructured clinical text (MTSamples), with batch inference, eval harness, and observability tooling.",2026-08-13,2026-08-13,langchain_sto,no,batch;eval
EshaalakshmiDS/PrescriptoAI,https://github.com/EshaalakshmiDS/PrescriptoAI,0,0,Python,medical,"AI-powered system that transforms handwritten medical prescriptions into structured, interpretable insights using OCR and multi-step LLM reasoning. Built with FastAPI to convert unstructured clinical ",2026-03-21,2026-03-22,langchain_sto,no,batch;ocr_vision;eval
KangLi5685752/LLM-document-intelligence-pipeline,https://github.com/KangLi5685752/LLM-document-intelligence-pipeline,0,0,Python,research papers,"An evaluated LLM pipeline for evidence-linked structured extraction from PDF, PowerPoint and email-style documents.",2026-07-16,2026-08-11,none shown,yes,pdf;eval
AsgarD-15/llm-document-intelligence,https://github.com/AsgarD-15/llm-document-intelligence,0,0,Python,invoices/finance;jobs/recruiting,"AI-powered document extraction and analysis engine supporting PDF, DOCX, Excel, CSV, and images. Extracts structured data from invoices, resumes, and contracts using LLM function calling with Pydantic",2026-04-02,2026-04-02,none shown,yes,batch;pdf;ocr_vision
HamzaBensitel/n8n-document-intelligence,https://github.com/HamzaBensitel/n8n-document-intelligence,0,0,,invoices/finance,Document-to-structured-JSON pipeline for n8n: OCR + self-hosted LLM extraction with anti-hallucination guardrails,2026-07-11,2026-07-11,none shown,yes,batch;pdf;ocr_vision
sibsi/clinical-text-extraction,https://github.com/sibsi/clinical-text-extraction,0,0,Python,medical,LLM-assisted system that extracts structured data from free text clinical reports for biomarker-based treatment retrieval system using Elasticsearch.,2026-03-02,2026-04-19,none shown,yes,pdf;eval
21f3003255/llm-invoice-extractor,https://github.com/21f3003255/llm-invoice-extractor,0,0,HTML,invoices/finance,"LLM Invoice Extractor is an AI-powered web application built with Flask that automates extraction of structured data from invoice documents.  The system accepts PDF or text invoices, extracts raw cont",2026-02-03,2026-02-03,none shown,yes,pdf;web_scrape
Durga-shetty/Medical-Claims-Extraction,https://github.com/Durga-shetty/Medical-Claims-Extraction,0,0,Python,medical,"This project uses an LLM to extract structured data from medical claim documents, converting unstructured text into organized, machine-readable information.",2026-02-27,2026-02-27,none shown,yes,pdf;ocr_vision
Sivasankaran29/doc-extractor,https://github.com/Sivasankaran29/doc-extractor,0,0,Python,knowledge graph,"Advanced Multi-Agent Document Pipeline: Extracts text from complex industrial PDFs, processes data via 5 specialized LLM agents, and generates embedded node-and-edge structures for Knowledge Graph sto",2026-06-19,2026-06-19,none shown,yes,pdf
itsMeSaikrishna/invoice-extractor,https://github.com/itsMeSaikrishna/invoice-extractor,0,0,Python,invoices/finance,Intelligent Invoice Extractor is a GenAI-powered application that extracts structured invoice data from PDF invoices. The system automatically processes text-based PDFs using an LLM-driven extraction ,2026-01-24,2026-01-24,none shown,yes,pdf;ocr_vision
Ravikumar-3064/AI-Invoice-Extraction,https://github.com/Ravikumar-3064/AI-Invoice-Extraction,0,0,Python,invoices/finance,The AI Invoice Extraction & Analytics System is a full-stack application that automatically extracts structured data from invoice PDFs and images using OCR and LLM parsing. The system converts unstruc,2026-04-02,2026-04-02,none shown,yes,batch;pdf;ocr_vision;eval
he-is-talha/ai-schema-locked-extractor,https://github.com/he-is-talha/ai-schema-locked-extractor,0,0,TypeScript,invoices/finance;jobs/recruiting,"🔒 Schema-locked LLM extraction — messy text → validated JSON via Ollama constrained decode, Zod, and a capped repair loop",2026-07-30,2026-08-01,none shown,yes,batch
madhusanthan/clinical-narrative-llm-pipeline,https://github.com/madhusanthan/clinical-narrative-llm-pipeline,0,0,,medical,"LLM-driven pipeline using LangChain, RAG, and Pydantic for structured clinical text extraction and trial matching.",2026-07-29,2026-07-29,none shown,yes,
hyonbokan/ai-customs,https://github.com/hyonbokan/ai-customs,0,0,Python,invoices/finance,"Self-hosted LLM that flags discrepancies in customs declarations; Gemma-3-27B on local GPUs (vLLM/TGI) with Docling + OCR parsing and JSON-schema-constrained output, so trade data never leaves the ope",2025-07-22,2026-07-15,none shown,yes,batch;pdf;ocr_vision;eval
youssef51-dotcom/HealthcareDocumentRAGLLM,https://github.com/youssef51-dotcom/HealthcareDocumentRAGLLM,0,0,Python,medical,"End-to-end RAG pipeline for extracting structured clinical data from medical PDFs. Combines layout-aware parsing, semantic chunking, FAISS retrieval, and local LLMs (Mistral via Ollama). Outputs valid",2026-04-21,2026-07-31,none shown,yes,pdf;eval
Aryan1718/resume-normalizer,https://github.com/Aryan1718/resume-normalizer,0,0,Python,jobs/recruiting,"FastAPI microservice that converts resumes (PDF, DOCX, or text) into a validated, canonical JSON schema using Google Gemini, with LLM-driven extraction and Pydantic-based normalization.",2025-11-28,2026-02-07,none shown,yes,pdf
Rexon-Pambujya/CareDocAI,https://github.com/Rexon-Pambujya/CareDocAI,0,0,Python,medical,"CareDoc AI is a healthcare documentation assistant that converts spoken or written nursing handover notes into validated, structured care documentation. It combines audio transcription, LLM-based extr",2026-06-15,2026-06-15,none shown,yes,batch;pdf;ocr_vision;eval
vishalsinhacodes/llm-extractor,https://github.com/vishalsinhacodes/llm-extractor,0,0,Python,invoices/finance,LLM Data Extractor — FastAPI + OpenAI — extracts structured JSON from unstructured text,2026-05-25,2026-05-25,none shown,yes,batch
bloomcare-app/hiring-llm-parser,https://github.com/bloomcare-app/hiring-llm-parser,0,0,TypeScript,jobs/recruiting,A simple exercise to extract structured data from text,2025-12-01,2025-12-01,none shown,yes,
andrei-ameliugin/ai-pdf-invoice-extractor,https://github.com/andrei-ameliugin/ai-pdf-invoice-extractor,0,0,Python,invoices/finance,"Extract structured data from PDF invoices using FastAPI and OpenAI (LLM). Returns clean JSON with invoice number, date, company and totals.",2026-03-05,2026-03-06,none shown,yes,batch;pdf;ocr_vision
Harishram4106/Invoice-Data-Extractor,https://github.com/Harishram4106/Invoice-Data-Extractor,0,0,Python,invoices/finance,"Invoice Data Extractor: A full-stack web app (FastAPI + React) that extracts structured data from invoice PDFs and images. Uses PaddleOCR for text recognition, Anthropic Claude for intelligent field p",2026-06-15,2026-06-15,none shown,yes,pdf;ocr_vision
AD4910-GOAT/LLM-Powered-Resume-Parser-Candidate-Ranking,https://github.com/AD4910-GOAT/LLM-Powered-Resume-Parser-Candidate-Ranking,0,0,Python,jobs/recruiting,"ResumeRank AI is an intelligent resume screening system that streamlines the initial recruitment process using Large Language Models. The application reads job descriptions and candidate resumes, conv",2026-07-26,2026-07-26,none shown,yes,
robisonkarls/grocery-receipt-parser,https://github.com/robisonkarls/grocery-receipt-parser,0,0,Python,invoices/finance,"Parse grocery receipts into searchable, structured data. Hybrid OCR + Vision LLM pipeline with QMD semantic search and SQLite analytics.",2026-05-05,2026-05-14,json_mode,yes,pdf;ocr_vision
pawan941394/Hybrid-OCR-Transaction-Extractor,https://github.com/pawan941394/Hybrid-OCR-Transaction-Extractor,0,0,Python,invoices/finance, A state-of-the-art hybrid pipeline combining local on-device OCR with LLM-based intelligence to parse and structure receipt/screenshot transaction details into validated JSON.,2026-06-10,2026-06-10,none shown,yes,ocr_vision
kpvishnu10987/agentic-invoice-po-auditor,https://github.com/kpvishnu10987/agentic-invoice-po-auditor,0,0,Python,invoices/finance,"Agentic document extraction & verification platform for invoices and purchase orders — FastAPI, LLM structured output, OCR, PostgreSQL, Celery",2026-06-30,2026-07-04,none shown,yes,batch;pdf;ocr_vision;eval
zhangzhangwudi2-creator/aiqiuzhizhe,https://github.com/zhangzhangwudi2-creator/aiqiuzhizhe,0,0,Python,jobs/recruiting,"AI resume–JD matching assistant with DeepSeek, browser OCR, quota protection, structured output validation, and automated tests.",2026-07-17,2026-08-09,none shown,yes,pdf;ocr_vision;eval
BinaryFighter-01/InvoiceIQ,https://github.com/BinaryFighter-01/InvoiceIQ,0,0,Python,invoices/finance,"AI-powered invoice data extraction system with OCR, Vision LLMs, GST validation, multi-page PDF support, and structured JSON output.",2026-06-29,2026-07-24,none shown,yes,batch;pdf;ocr_vision;eval
nade1234/invoice-data-extraction,https://github.com/nade1234/invoice-data-extraction,0,0,Python,invoices/finance,"FastAPI-based application for extracting structured invoice data using OCR (OCR.space API) and optional LLM-based formatting (via Groq). Supports image and PDF files, outputs raw text or structured JS",2025-08-26,2025-08-27,none shown,yes,pdf;ocr_vision
tomvsaji/agentic-doc-reviewer-workflow,https://github.com/tomvsaji/agentic-doc-reviewer-workflow,0,0,Python,jobs/recruiting,A document submission workflow that uses multiple agents to extract key information from documents using OCR and LLM structured output. Langraph is used to orchestrate the workflow based on determinis,2026-03-20,2026-03-20,none shown,yes,pdf;ocr_vision;eval
yordanoswuletaw/job-pilot,https://github.com/yordanoswuletaw/job-pilot,0,0,Jupyter Notebook,ID/forms;jobs/recruiting,"🚀 Job-Pilot is an intelligent, LLM-powered agent that automates job application form filling using parsed resume data and AI-powered inference. Supports PDF parsing, form field matching, and feedback ",2025-04-20,2025-05-26,none shown,yes,pdf;ocr_vision;web_scrape
Damaldra/n8n-invoice-processing,https://github.com/Damaldra/n8n-invoice-processing,0,0,,invoices/finance,"n8n workflow: Gmail PDF invoices -> LLM field extraction -> validation -> Data Table + Slack, with manual-review routing",2026-06-12,2026-06-12,none shown,yes,pdf;ocr_vision
Shahd-Ibrahiem/Document-Structure-Extractor,https://github.com/Shahd-Ibrahiem/Document-Structure-Extractor,0,0,Python,invoices/finance;jobs/recruiting,"An Intelligent Document Processing (IDP) system that parses unstructured PDFs and document images (invoices, receipts, contracts) into schema-validated JSON structures using **Pydantic V2**, **PyPDF**",2026-08-12,2026-08-12,none shown,yes,pdf
daffaalhanif/multimodal-cv-parser,https://github.com/daffaalhanif/multimodal-cv-parser,0,0,Python,jobs/recruiting,"AI-powered CV parser that extracts structured JSON from PDF and image CVs using GPT-4o, LangChain, and Pydantic",2026-04-27,2026-04-28,none shown,yes,pdf;ocr_vision
KiBrueg/llm-parser,https://github.com/KiBrueg/llm-parser,0,0,,jobs/recruiting,"LLM-powered job posting parser: prompt engineering, JSON contract, think-block stripping (Qwen3/OpenRouter)",2026-06-17,2026-06-17,prompt_and_parse,yes,web_scrape
rlanier-webdev/ai-job-analyzer,https://github.com/rlanier-webdev/ai-job-analyzer,0,0,Python,jobs/recruiting,"AI-assisted job analysis tool that parses resumes and job postings, evaluates skill fit, and provides actionable apply/no-apply recommendations using strategic prompting and structured LLM outputs.",2026-01-26,2026-07-09,none shown,yes,batch;pdf;web_scrape
SamyakVaghela/resume-jd-matcher,https://github.com/SamyakVaghela/resume-jd-matcher,0,0,Python,jobs/recruiting,LLM-powered resume vs job-description matcher (Gemini structured extraction + LLM-as-judge),2026-07-25,2026-07-25,none shown,yes,
reddemanilkumarreddy/AI-skill_extraction_pipeline,https://github.com/reddemanilkumarreddy/AI-skill_extraction_pipeline,0,0,Python,jobs/recruiting,"“End-to-end AI orchestration pipeline to extract technical skills, soft skills, and tools from job descriptions or resumes. Features text preprocessing, LLM integration, validation, logging, and CSV/J",2026-02-28,2026-02-28,none shown,yes,batch
priyanshi17112007/RESUME_ANALYZER,https://github.com/priyanshi17112007/RESUME_ANALYZER,0,0,Python,jobs/recruiting,"AI-powered Resume Analyzer built with Streamlit, Python, and Groq LLM for resume parsing, structured information extraction, and job description matching.",2026-07-15,2026-07-15,none shown,yes,pdf;eval
BickNutler/llm-jd-resume-analyzer,https://github.com/BickNutler/llm-jd-resume-analyzer,0,0,Python,jobs/recruiting,"End-to-end NLP and LLM-powered system that analyzes resumes against job descriptions. Combines TF-IDF similarity scoring with structured LLM extraction to identify skill gaps, keyword alignment, and m",2025-12-18,2025-12-18,none shown,yes,batch;pdf;web_scrape;eval
musiliandrew/email-intelligence-system,https://github.com/musiliandrew/email-intelligence-system,0,0,Python,jobs/recruiting,"Serverless Event Watcher for CareerScope. Listens for Gmail push notifications, parses job recruiter emails using LLMs, and publishes structured events to GCP Pub/Sub.",2026-06-30,2026-08-10,none shown,yes,
AzeemPatil/genai-supply-chain-extractor,https://github.com/AzeemPatil/genai-supply-chain-extractor,0,0,Python,e-commerce,"An automated ETL pipeline utilizing Python and LLM APIs to parse messy, unstructured vendor emails into a structured SQL database for inventory analytics.",2026-06-24,2026-06-25,none shown,yes,pdf
SannidhyaSinha1/PlaceMe_AI,https://github.com/SannidhyaSinha1/PlaceMe_AI,0,0,Python,jobs/recruiting,"Full-stack AI placement assistant that parses recruitment emails into structured jobs (LangChain + Groq), scores eligibility with XGBoost, and runs a FAISS RAG agent for company research, resume optim",2026-06-23,2026-07-30,none shown,yes,batch;pdf
cbrown564-alt/clinical_extraction,https://github.com/cbrown564-alt/clinical_extraction,0,0,Python,medical,A hybrid LLM + rules-based program to extract structured data from unstructured clinical notes,2026-06-01,2026-08-14,none shown,yes,eval
scottsilvis/clinical-notes-risk-stratification,https://github.com/scottsilvis/clinical-notes-risk-stratification,0,0,Jupyter Notebook,medical,"End-to-end, reproducible pipeline that combines structured patient variables with clinical-note NLP (TF-IDF + optional LLM extraction) to predict 30-day readmission risk, with interpretable models, va",2026-02-19,2026-03-16,none shown,yes,web_scrape
SriniV-1/legal-risk-mapper,https://github.com/SriniV-1/legal-risk-mapper,0,0,Python,legal,"AI-powered contract clause analysis: structured extraction, market benchmarking against SEC EDGAR filings, and grounded redline suggestions",2026-05-12,2026-06-23,none shown,yes,batch;pdf;ocr_vision;web_scrape;eval
DaPhilll/Generative-AI-Incident-Triage-Investigative-Reporting,https://github.com/DaPhilll/Generative-AI-Incident-Triage-Investigative-Reporting,0,0,Python,logs/security,"Python pipeline that sends parsed Wazuh and Suricata logs to the Gemini API to draft structured, MITRE-mapped incident reports.",2026-07-03,2026-08-04,json_mode,yes,eval
Mayur97V/ai-document-intelligence,https://github.com/Mayur97V/ai-document-intelligence,0,0,Python,medical,LLM-powered pipeline for extracting structured data from unstructured documents with hallucination guardrails,2026-03-16,2026-03-20,none shown,yes,pdf;eval
avinashcraft/ai-document-intelligence-system,https://github.com/avinashcraft/ai-document-intelligence-system,0,0,,invoices/finance,Autonomous pipeline for extracting structured data from unstructured invoices and contracts using n8n and LLM-based parsing.,2026-04-05,2026-04-05,none shown,yes,pdf;eval
ayush-bhavsar/multimodel-llm,https://github.com/ayush-bhavsar/multimodel-llm,0,0,Python,invoices/finance,"Automated invoice OCR/extraction using Google Gemini Vision. Batch-process invoice images, auto-categorize spending, and export a clean CSV dataset with resumable progress tracking and rate-limit hand",2026-02-13,2026-02-13,none shown,yes,batch;ocr_vision
VisalChathuranga/Amazon-Textract-Invoice-PDF-Processor-with-LLM,https://github.com/VisalChathuranga/Amazon-Textract-Invoice-PDF-Processor-with-LLM,0,0,Python,invoices/finance,🧾 AI-powered invoice processing pipeline using AWS Textract + Gemini LLM. Extracts structured JSON data and generates Markdown reports from PDF invoices with high accuracy and confidence scoring.,2025-09-05,2025-09-24,none shown,yes,pdf;eval
Rohit-Sahu-1998/LLM_Hybrid_Extractor,https://github.com/Rohit-Sahu-1998/LLM_Hybrid_Extractor,0,0,Python,invoices/finance;medical,Hybrid Document AI system that extracts structured data from invoices and medical forms using PaddleOCR (text + bounding boxes) and Qwen (semantic extraction). It aligns values with document locations,2026-04-15,2026-04-15,none shown,yes,ocr_vision
Shredmetal/ct-pa-report-classifier,https://github.com/Shredmetal/ct-pa-report-classifier,0,0,Python,medical,API for using an LLM via kobold.cpp to extract structured clinical data from unstructured free text radiology reports,2025-06-15,2025-07-25,none shown,yes,
shanakasp/Invoice-extractor-for-accounting-,https://github.com/shanakasp/Invoice-extractor-for-accounting-,0,0,Python,invoices/finance,"A Python tool that extracts text from PDFs and images (invoices, receipts, financial documents) using PyMuPDF and PaddleOCR, and uses an LLM to structure the data for accounting workflows. Supports 60",2026-03-25,2026-03-25,none shown,yes,pdf;ocr_vision
tehsinbhati/Passport_OCR_paddle_ocr,https://github.com/tehsinbhati/Passport_OCR_paddle_ocr,0,0,Python,ID/forms,Passport OCR module using PaddleOCR to extract raw text from passport images. Designed for reliable text extraction with minimal preprocessing and easy integration with regex or LLM-based structured d,2025-12-19,2025-12-19,none shown,yes,ocr_vision
P-AlaKara/genAI-data-organization,https://github.com/P-AlaKara/genAI-data-organization,0,0,Jupyter Notebook,medical,Extracting structured data from unstructured natural language in medical transcriptions using the OpenAI API,2025-10-30,2025-11-01,none shown,yes,
rahulmandal112/invoice-data-extraction-llm,https://github.com/rahulmandal112/invoice-data-extraction-llm,0,0,Python,invoices/finance,LLM-based structured invoice data extraction using schema-constrained prompt engineering with JSON output enforcement.,2026-02-27,2026-02-27,none shown,yes,ocr_vision;eval
jhondados/knowledge-graph-llm-builder,https://github.com/jhondados/knowledge-graph-llm-builder,0,0,HTML,knowledge graph,"Automated knowledge graph construction from unstructured text using LLMs — entity extraction, relation classification and graph-enhanced RAG with Neo4j + Vertex AI",2026-06-08,2026-08-05,none shown,yes,eval
ajcondondev/invoice_extractor,https://github.com/ajcondondev/invoice_extractor,0,0,Python,invoices/finance,AI-powered invoice data extractor - converts invoices to structured JSON using Google Vision API and OpenAI GPT-4,2025-12-02,2026-07-03,none shown,yes,pdf;ocr_vision
Jaye-python/product_extract,https://github.com/Jaye-python/product_extract,0,0,Python,e-commerce,"Python web app that extracts product data from product images using OpenAI GPT-5 for inference. Upload images, get structured JSON output, view in interactive table with download functionality.",2025-12-17,2025-12-17,none shown,yes,batch;ocr_vision;eval
ParasDewangan27/invoice-extractor-genai,https://github.com/ParasDewangan27/invoice-extractor-genai,0,0,Python,invoices/finance,"Automated Invoice Data Extractor using Python, PDFPlumber, and Gemini AI/OpenAI to extract structured invoice data from PDF files and generate JSON outputs.",2026-06-24,2026-06-24,none shown,yes,batch;pdf
inpoyi-bot/Chinese-Invoice-Extraction-Skill,https://github.com/inpoyi-bot/Chinese-Invoice-Extraction-Skill,0,0,,invoices/finance,"Chinese invoice extraction skill for Anthropic Claude. Extracts structured invoice data (number, amount, date, seller, tax details)  from images, PDFs, or text descriptions.",2026-05-24,2026-07-17,none shown,yes,pdf;ocr_vision
cheatbased/receiptconverter-mcp,https://github.com/cheatbased/receiptconverter-mcp,0,0,JavaScript,invoices/finance,"MCP server for ReceiptConverter — parse receipts & invoices into structured JSON for Claude, Cursor, and any AI agent",2026-03-04,2026-03-04,none shown,yes,pdf;ocr_vision
Dabrel25/CashOut,https://github.com/Dabrel25/CashOut,0,0,Python,invoices/finance,"A combined Streamlit and CLI tool for OCR‑based receipt reading using Google Cloud Vision and OpenAI LLMs. Clean images, extract text, parse structured data, and export results as CSV.",2025-08-11,2025-08-11,none shown,yes,batch;ocr_vision
mabdullah4800-ai/invoice-ocr-extractor,https://github.com/mabdullah4800-ai/invoice-ocr-extractor,0,0,Python,invoices/finance,"Reads invoice PDFs with a vision LLM, extracts the line items into structured rows, validates the totals, and outputs a clean spreadsheet.",2026-05-22,2026-05-22,none shown,yes,batch;pdf;ocr_vision
Harini1403/OCR-case-sheet-system,https://github.com/Harini1403/OCR-case-sheet-system,0,0,,medical,A Python-based medical case sheet document parser for extracting structured text and images from multi-page hospital case sheets using PyMuPDF and rule-based segmentation logic. Outputs data as standa,2025-12-01,2025-12-01,none shown,yes,pdf;ocr_vision;eval
vaishnavi0704/LLM_Invoice_Extractor,https://github.com/vaishnavi0704/LLM_Invoice_Extractor,0,0,Python,invoices/finance,"LM_Invoice_Extractor is an AI-powered tool that uses OCR and Large Language Models to extract key details from invoices like dates, amounts, and vendor names. It handles various formats and outputs st",2025-07-03,2025-07-03,none shown,yes,pdf;ocr_vision;eval
JoelAlfred1997/InvoiceProcessor.GenAI,https://github.com/JoelAlfred1997/InvoiceProcessor.GenAI,0,0,Python,invoices/finance,"Intelligent invoice processing built with UiPath REFramework + Groq LLM (llama-3.3-70b). PDF OCR → structured JSON extraction → business rule validation → Excel output. Studio 2026, Community compatib",2026-05-07,2026-06-02,none shown,yes,pdf;ocr_vision
khemkapriyanshu/doc-digitization,https://github.com/khemkapriyanshu/doc-digitization,0,0,Python,invoices/finance,"end-to-end document automation pipelines using OCR + LLMs for structured data extraction, intelligent form parsing, and database recording. • Integrated Vision Language Model to reduce manual processi",2026-05-18,2026-05-18,none shown,yes,pdf;ocr_vision;eval
mhr-212/resume-finetuned-llm,https://github.com/mhr-212/resume-finetuned-llm,0,0,Python,jobs/recruiting,"This project fine-tunes an LLM (Llama 2 or Mistral) for two HR tasks:  1. Resume Information Extraction – Extract structured data (skills, experience, education) 2. Resume-Job Matching – Match resumes",2026-01-24,2026-01-25,none shown,yes,batch;pdf
Basel2058/LinkedIn-job-scraper-,https://github.com/Basel2058/LinkedIn-job-scraper-,0,0,Python,jobs/recruiting,"A lightweight Streamlit web application designed to scrape job descriptions from LinkedIn and compile them into a clean, structured .txt file. This format is optimized for feeding into Large Language ",2026-03-03,2026-03-03,none shown,yes,web_scrape
akshay-battu/resumeParser,https://github.com/akshay-battu/resumeParser,0,0,Python,jobs/recruiting,"Upload a candidate's resume, extract structured profile data with an LLM, and automatically request — then collect — their PAN and Aadhaar identity documents by email.",2026-07-19,2026-07-19,none shown,yes,pdf
vidagharavian/resume_parser,https://github.com/vidagharavian/resume_parser,0,0,Python,jobs/recruiting,"A pluggable, extensible framework to extract structured information (name, email, skills) from resumes in multiple formats (PDF, Word). Supports customizable field extractors, including LLM-based stra",2025-12-21,2025-12-21,none shown,yes,pdf
andrejartuchov-prog/ai-intake-extractor,https://github.com/andrejartuchov-prog/ai-intake-extractor,0,0,Python,medical,Test-first AI intake extractor: free-text (patient/lead/email) -> validated structured CRM/EMR fields via a schema. Pure parsing logic unit-tested offline; pluggable LLM backend.,2026-06-04,2026-08-14,none shown,yes,
ChendongLi/receipt-inbox,https://github.com/ChendongLi/receipt-inbox,0,0,,invoices/finance,"Email-based receipt capture and extraction for expense tracking. Forward receipts to a dedicated inbox; a vision LLM parses vendor, date, amount, and category into structured data",2026-07-30,2026-07-30,none shown,yes,
ardraxdrowski/Bolt-Hire-AI-virtual-interviewing-system,https://github.com/ardraxdrowski/Bolt-Hire-AI-virtual-interviewing-system,0,0,HTML,jobs/recruiting,"Bolt-Hire AI is a virtual interviewing platform supported by Whisper STT, Coqui TTS, and LLM-driven questioning( LLaMa). It supports voice/text interviews, JD & resume parsing, smart follow-ups, smoot",2025-11-09,2026-06-28,none shown,yes,batch;pdf;eval
prahlaadr/pyaar-noteviewer,https://github.com/prahlaadr/pyaar-noteviewer,0,0,HTML,medical,"A single-file, dependency-free viewer for reviewing clinical-note extraction: read each note beside the model's structured findings, then search, flag, annotate, and export. Fully synthetic sample dat",2026-07-29,2026-07-29,none shown,yes,
Pokerito/JURY-AI,https://github.com/Pokerito/JURY-AI,0,0,JavaScript,legal,"⚖️ AI-powered legal document analysis platform using Retrieval-Augmented Generation (RAG), Google Gemini LLM, and ChromaDB. Upload contracts and get instant risk scores, clause detection, entity extra",2026-05-25,2026-07-03,none shown,yes,batch;pdf
Chaoguan-openai/Financial_Analysis,https://github.com/Chaoguan-openai/Financial_Analysis,0,0,Jupyter Notebook,invoices/finance,"This project automates the extraction of financial data from financial reports to build structured Balance Sheets (BS) and Income Statements (IS). It populates the required figures neatly, providing a",2026-03-19,2026-03-19,none shown,yes,pdf
Amit-1of1/llm-ingest,https://github.com/Amit-1of1/llm-ingest,0,0,Python,knowledge graph;research papers,"LLM Ingest is a local desktop and CLI tool for converting research PDFs and document folders into cleaner, LLM-ready Markdown. It is designed for researchers who need reliable paper ingestion, figure ",2026-05-14,2026-05-19,none shown,yes,pdf;ocr_vision;eval
jtj9817/structlogr,https://github.com/jtj9817/structlogr,0,0,TypeScript,logs/security,"Transform raw log text into structured JSON using AI-powered parsing with multiple LLM providers (DeepSeek, Gemini, Moonshot, ZhipuAI)",2025-10-15,2026-01-31,none shown,yes,batch
mishushakov/llm-scraper,https://github.com/mishushakov/llm-scraper,6909,454,TypeScript,general,Turn any webpage into structured data using LLMs,2024-04-20,2026-08-14,none shown,yes,web_scrape;eval
adbar/trafilatura,https://github.com/adbar/trafilatura,6634,414,Python,general,"Python & Command-line tool to gather text and metadata on the Web: Crawling, scraping, extraction, output as CSV, JSON, HTML, MD, TXT, XML",2019-04-08,2026-08-14,openai_structured_outputs,yes,batch;pdf;web_scrape;eval
